city,state_id,state_name,lat,lng
Paterson,NJ,New Jersey,40.9147,-74.1624
Corona,CA,California,33.8616,-117.5649
Macon,GA,Georgia,32.8065,-83.6974
Binghamton,NY,New York,42.1014,-75.9093
Kansas City,KS,Kansas,39.1235,-94.7443
Lakewood,CO,Colorado,39.6977,-105.1172
Sunnyvale,CA,California,37.3836,-122.0255
Odessa,TX,Texas,31.8801,-102.3448
New Bedford,MA,Massachusetts,41.6697,-70.9428
Hollywood,FL,Florida,26.0293,-80.1679
South Lyon,MI,Michigan,42.4614,-83.6526
Pasadena,TX,Texas,29.6575,-95.1498
Pomona,CA,California,34.0585,-117.7626
Escondido,CA,California,33.1348,-117.0723
Lake Charles,LA,Louisiana,30.201,-93.2111
Joliet,IL,Illinois,41.5188,-88.1499
Champaign,IL,Illinois,40.1142,-88.2737
Mesquite,TX,Texas,32.7602,-96.5865
Fairfield,CA,California,38.2583,-122.0335
Elkhart,IN,Indiana,41.6916,-85.9627
Bellevue,WA,Washington,47.5951,-122.1535
Naperville,IL,Illinois,41.748,-88.1659
St. George,UT,Utah,37.0758,-113.5752
Topeka,KS,Kansas,39.0346,-95.6955
Burlington,NC,North Carolina,36.076,-79.4685
Torrance,CA,California,33.8346,-118.3416
Warner Robins,GA,Georgia,32.5961,-83.6527
Roseville,CA,California,38.7703,-121.3196
Santa Maria,CA,California,34.9333,-120.4431
Athens,GA,Georgia,33.9508,-83.3689
Houma,LA,Louisiana,29.58,-90.7059
Fullerton,CA,California,33.8841,-117.9279
Columbia,MO,Missouri,38.9472,-92.3268
Surprise,AZ,Arizona,33.6815,-112.4515
Greeley,CO,Colorado,40.4152,-104.7706
Beaumont,TX,Texas,30.0849,-94.1451
Las Cruces,NM,New Mexico,32.3265,-106.7893
Metairie,LA,Louisiana,29.9977,-90.178
Thornton,CO,Colorado,39.9197,-104.9438
Olathe,KS,Kansas,38.8833,-94.82
Midland,TX,Texas,32.0243,-102.1147
Carolina,PR,Puerto Rico,18.4054,-65.9792
West Valley City,UT,Utah,40.6886,-112.0123
Orange,CA,California,33.8038,-117.8218
Warren,MI,Michigan,42.4934,-83.027
Pasadena,CA,California,34.1597,-118.139
Grand Junction,CO,Colorado,39.0877,-108.5673
Tyler,TX,Texas,32.3184,-95.3062
Hampton,VA,Virginia,37.0551,-76.363
Bloomington,IL,Illinois,40.4757,-88.9703
Elizabeth,NJ,New Jersey,40.6658,-74.1913
Yuma,AZ,Arizona,32.5995,-114.5491
Kent,WA,Washington,47.3887,-122.2128
Stamford,CT,Connecticut,41.1039,-73.5585
Coeur d'Alene,ID,Idaho,47.704,-116.7936
Miramar,FL,Florida,25.9773,-80.3351
Sterling Heights,MI,Michigan,42.5809,-83.0305
Coral Springs,FL,Florida,26.2702,-80.2591
Yuba City,CA,California,39.1357,-121.6383
Yakima,WA,Washington,46.5923,-120.5496
Racine,WI,Wisconsin,42.7274,-87.8135
Johnson City,TN,Tennessee,36.3406,-82.3806
Billings,MT,Montana,45.7891,-108.5526
Carrollton,TX,Texas,32.989,-96.8999
Iowa City,IA,Iowa,41.6559,-91.5303
Dover,DE,Delaware,39.161,-75.5202
Bellingham,WA,Washington,48.7548,-122.469
Charleston,WV,West Virginia,38.3484,-81.6322
Lynchburg,VA,Virginia,37.4003,-79.1909
Santa Clara,CA,California,37.3646,-121.968
Greenville,NC,North Carolina,35.5943,-77.376
Simi Valley,CA,California,34.2663,-118.749
Fort Smith,AR,Arkansas,35.3495,-94.3695
Norman,OK,Oklahoma,35.2335,-97.3471
Arecibo,PR,Puerto Rico,18.4491,-66.7387
Abilene,TX,Texas,32.4543,-99.7384
Kenosha,WI,Wisconsin,42.5865,-87.8773
Lehigh Acres,FL,Florida,26.612,-81.6388
Seaside,CA,California,36.6224,-121.8199
Burlington,VT,Vermont,44.4876,-73.2316
Arvada,CO,Colorado,39.832,-105.151
Pearland,TX,Texas,29.5581,-95.3218
Waldorf,MD,Maryland,38.6085,-76.9194
Independence,MO,Missouri,39.0871,-94.3501
Rochester,MN,Minnesota,44.0154,-92.478
Logan,UT,Utah,41.7399,-111.8422
Harlingen,TX,Texas,26.1916,-97.6977
Pueblo,CO,Colorado,38.2701,-104.6114
Temple,TX,Texas,31.1068,-97.3891
Berkeley,CA,California,37.8722,-122.276
East Los Angeles,CA,California,34.0326,-118.1691
Duluth,MN,Minnesota,46.7756,-92.1393
Clovis,CA,California,36.8278,-119.683
Boulder,CO,Colorado,40.0248,-105.2524
Round Rock,TX,Texas,30.527,-97.6642
Port Arthur,TX,Texas,29.8554,-93.9264
Redding,CA,California,40.5698,-122.365
Monroe,LA,Louisiana,32.5185,-92.0774
Cambridge,MA,Massachusetts,42.3759,-71.1185
Utica,NY,New York,43.0962,-75.2261
St. Cloud,MN,Minnesota,45.534,-94.1718
Mandeville,LA,Louisiana,30.3751,-90.0904
Clearwater,FL,Florida,27.979,-82.7623
West Jordan,UT,Utah,40.6024,-112.0008
Richardson,TX,Texas,32.9716,-96.7093
West Palm Beach,FL,Florida,26.7469,-80.132
The Woodlands,TX,Texas,30.1738,-95.5134
Richmond,CA,California,37.9477,-122.3389
Westminster,CO,Colorado,39.8837,-105.0624
Saginaw,MI,Michigan,43.4199,-83.9501
Brandon,FL,Florida,27.9367,-82.3
Kailua,HI,Hawaii,21.392,-157.7396
Meridian,ID,Idaho,43.6116,-116.3977
Ponce,PR,Puerto Rico,18.0127,-66.6212
Carlsbad,CA,California,33.1246,-117.2834
Lowell,MA,Massachusetts,42.6389,-71.3217
North Charleston,SC,South Carolina,32.9067,-80.0722
Downey,CA,California,33.9379,-118.1311
Gresham,OR,Oregon,45.5021,-122.4413
Elgin,IL,Illinois,42.0383,-88.324
Broken Arrow,OK,Oklahoma,36.038,-95.7806
Waterloo,IA,Iowa,42.4918,-92.3522
Costa Mesa,CA,California,33.6667,-117.9135
Leominster,MA,Massachusetts,42.5209,-71.7717
Longview,TX,Texas,32.5193,-94.7622
League City,TX,Texas,29.4874,-95.1087
Jacksonville,NC,North Carolina,34.7289,-77.3941
Bend,OR,Oregon,44.0563,-121.3095
Miami Gardens,FL,Florida,25.9433,-80.2426
Pompano Beach,FL,Florida,26.2428,-80.1312
Sioux City,IA,Iowa,42.4959,-96.3901
Murrieta,CA,California,33.5719,-117.1909
Gilroy,CA,California,37.0046,-121.5854
San Buenaventura,CA,California,34.2741,-119.2314
Everett,WA,Washington,47.9525,-122.1669
Sugar Land,TX,Texas,29.5935,-95.6358
El Monte,CA,California,34.0739,-118.0291
Lewisville,TX,Texas,33.0454,-96.9815
Chico,CA,California,39.7578,-121.8161
Eau Claire,WI,Wisconsin,44.8197,-91.4948
West Covina,CA,California,34.0555,-117.9113
Temecula,CA,California,33.4928,-117.1315
Idaho Falls,ID,Idaho,43.4871,-112.0362
Bloomington,IN,Indiana,39.1637,-86.5257
Inglewood,CA,California,33.9566,-118.3444
Dearborn,MI,Michigan,42.3127,-83.213
Centennial,CO,Colorado,39.5926,-104.8673
Burbank,CA,California,34.1879,-118.3235
Sparks,NV,Nevada,39.5736,-119.7161
Sandy Springs,GA,Georgia,33.9366,-84.3703
El Cajon,CA,California,32.8017,-116.9604
Hillsboro,OR,Oregon,45.5273,-122.936
South Fulton,GA,Georgia,33.6273,-84.58
Auburn,AL,Alabama,32.6087,-85.4903
Renton,WA,Washington,47.4784,-122.1918
Holland,MI,Michigan,42.7677,-86.0984
San Mateo,CA,California,37.5522,-122.3121
Columbia,MD,Maryland,39.2004,-76.859
Daly City,CA,California,37.6862,-122.4685
Davie,FL,Florida,26.0789,-80.287
Jurupa Valley,CA,California,34.001,-117.4706
Brockton,MA,Massachusetts,42.0821,-71.0242
Rialto,CA,California,34.1175,-117.3892
Charlottesville,VA,Virginia,38.0375,-78.4855
Norwalk,CA,California,33.9069,-118.0829
Highlands Ranch,CO,Colorado,39.5419,-104.9708
Allen,TX,Texas,33.1088,-96.6735
Wichita Falls,TX,Texas,33.9072,-98.5291
Rio Rancho,NM,New Mexico,35.2873,-106.6982
Vacaville,CA,California,38.3587,-121.9673
Spokane Valley,WA,Washington,47.6626,-117.2346
Longmont,CO,Colorado,40.1686,-105.1005
Kingsport,TN,Tennessee,36.5224,-82.5454
Menifee,CA,California,33.6909,-117.1849
Lee's Summit,MO,Missouri,38.9171,-94.3816
Quincy,MA,Massachusetts,42.2506,-71.0187
Lynn,MA,Massachusetts,42.4781,-70.9664
San Angelo,TX,Texas,31.4424,-100.4504
Federal Way,WA,Washington,47.3091,-122.3358
Bowling Green,KY,Kentucky,36.9716,-86.4378
Bismarck,ND,North Dakota,46.8143,-100.7694
Hesperia,CA,California,34.3975,-117.3147
Riverview,FL,Florida,27.8227,-82.3023
Lafayette,CO,Colorado,39.9946,-105.0998
Edinburg,TX,Texas,26.3196,-98.1597
Vista,CA,California,33.1896,-117.2386
Carmel,IN,Indiana,39.965,-86.146
St. Augustine,FL,Florida,29.8976,-81.31
Beaverton,OR,Oregon,45.4779,-122.8168
Portsmouth,VA,Virginia,36.8468,-76.354
Fishers,IN,Indiana,39.9588,-85.9659
Orem,UT,Utah,40.2981,-111.6994
Sandy,UT,Utah,40.5709,-111.8506
Sunrise,FL,Florida,26.1547,-80.2997
Portsmouth,NH,New Hampshire,43.058,-70.7826
San Tan Valley,AZ,Arizona,33.1786,-111.5629
Compton,CA,California,33.893,-118.2274
Lawrence,KS,Kansas,38.9597,-95.2642
Arden-Arcade,CA,California,38.6017,-121.3845
Slidell,LA,Louisiana,30.2887,-89.7828
Boca Raton,FL,Florida,26.3752,-80.108
Livonia,MI,Michigan,42.3972,-83.3733
Carson,CA,California,33.8374,-118.2559
Williamsburg,VA,Virginia,37.2693,-76.7076
La Crosse,WI,Wisconsin,43.8241,-91.2268
San Marcos,CA,California,33.135,-117.1743
Prescott Valley,AZ,Arizona,34.598,-112.3185
Middletown,OH,Ohio,39.5033,-84.3659
Goodyear,AZ,Arizona,33.2614,-112.3622
San Germán,PR,Puerto Rico,18.0827,-67.046
Edmond,OK,Oklahoma,35.6689,-97.416
Fall River,MA,Massachusetts,41.7136,-71.1015
South Gate,CA,California,33.9447,-118.1926
Suffolk,VA,Virginia,36.6953,-76.6398
Santa Fe,NM,New Mexico,35.6619,-105.9819
Mayagüez,PR,Puerto Rico,18.2003,-67.1397
Santa Monica,CA,California,34.0235,-118.481
Tracy,CA,California,37.7269,-121.4523
Roswell,GA,Georgia,34.0391,-84.3513
Plantation,FL,Florida,26.1259,-80.2617
Alafaya,FL,Florida,28.528,-81.1868
Kirkland,WA,Washington,47.697,-122.2057
Hoover,AL,Alabama,33.3763,-86.8068
Westminster,CA,California,33.7523,-117.9938
Lawton,OK,Oklahoma,34.6175,-98.4202
San Leandro,CA,California,37.7074,-122.1599
Norwalk,CT,Connecticut,41.1144,-73.4215
O'Fallon,MO,Missouri,38.785,-90.7175
Manteca,CA,California,37.7927,-121.2264
Florence,SC,South Carolina,34.178,-79.7898
Joplin,MO,Missouri,37.0757,-94.5018
Chino,CA,California,33.9836,-117.6654
Germantown,MD,Maryland,39.1755,-77.2643
Waukegan,IL,Illinois,42.3698,-87.8716
Buckeye,AZ,Arizona,33.4314,-112.6429
Town 'n' Country,FL,Florida,28.0106,-82.5763
Clifton,NJ,New Jersey,40.863,-74.1575
Bloomington,MN,Minnesota,44.8306,-93.3151
Mount Pleasant,SC,South Carolina,32.8537,-79.8203
Missoula,MT,Montana,46.8751,-114.0214
Newton,MA,Massachusetts,42.3316,-71.2085
Livermore,CA,California,37.6868,-121.7607
Palm Coast,FL,Florida,29.5389,-81.2457
Avondale,AZ,Arizona,33.3873,-112.3235
Muncie,IN,Indiana,40.1989,-85.395
Conroe,TX,Texas,30.3238,-95.4824
Hawthorne,CA,California,33.9147,-118.3476
Rapid City,SD,South Dakota,44.0716,-103.2204
Lawrence,MA,Massachusetts,42.7002,-71.1626
New Braunfels,TX,Texas,29.6994,-98.1148
Citrus Heights,CA,California,38.6948,-121.288
Whittier,CA,California,33.9678,-118.0188
Troy,MI,Michigan,42.5817,-83.1457
Winchester,VA,Virginia,39.1735,-78.1746
Decatur,IL,Illinois,39.8557,-88.9342
Deerfield Beach,FL,Florida,26.305,-80.1277
Vineland,NJ,New Jersey,39.4653,-74.9981
Springdale,AR,Arkansas,36.1901,-94.1574
Newport Beach,CA,California,33.6151,-117.8668
San Ramon,CA,California,37.7624,-121.9365
Lake Forest,CA,California,33.6605,-117.6714
Mission,TX,Texas,26.2039,-98.3256
Auburn,WA,Washington,47.3039,-122.2108
Brooklyn Park,MN,Minnesota,45.1112,-93.3505
Bryan,TX,Texas,30.665,-96.3807
Westland,MI,Michigan,42.3192,-83.3805
Cicero,IL,Illinois,41.8445,-87.7593
Napa,CA,California,38.2975,-122.301
Fort Myers,FL,Florida,26.6194,-81.8302
Pine Hills,FL,Florida,28.5818,-81.4692
Atascocita,TX,Texas,29.9777,-95.1953
Buena Park,CA,California,33.8572,-118.0046
Redwood City,CA,California,37.5025,-122.2253
Anderson,IN,Indiana,40.0891,-85.6892
Farmington Hills,MI,Michigan,42.486,-83.3771
Melbourne,FL,Florida,28.1086,-80.6627
Miami Beach,FL,Florida,25.8171,-80.1396
Albany,GA,Georgia,31.5776,-84.1762
Alhambra,CA,California,34.084,-118.1355
State College,PA,Pennsylvania,40.7909,-77.8567
Jackson,MI,Michigan,42.2431,-84.4038
Warwick,RI,Rhode Island,41.7062,-71.4334
Cranston,RI,Rhode Island,41.7658,-71.4858
Baytown,TX,Texas,29.7587,-94.9671
Largo,FL,Florida,27.9088,-82.7712
Silver Spring,MD,Maryland,39.0028,-77.0207
Lakewood,CA,California,33.8471,-118.1222
Mountain View,CA,California,37.4001,-122.0796
Johns Creek,GA,Georgia,34.0333,-84.2027
Salisbury,MD,Maryland,38.3756,-75.5865
Morgantown,WV,West Virginia,39.6383,-79.9464
Springfield,OH,Ohio,39.93,-83.7959
Franklin,TN,Tennessee,35.92,-86.8516
Florence,AL,Alabama,34.8303,-87.6655
Madera,CA,California,36.963,-120.0778
Parma,OH,Ohio,41.3843,-81.7286
Layton,UT,Utah,41.077,-111.962
New Rochelle,NY,New York,40.9304,-73.7836
Somerville,MA,Massachusetts,42.3908,-71.1014
Terre Haute,IN,Indiana,39.466,-87.3751
Flagstaff,AZ,Arizona,35.1872,-111.6194
Plymouth,MN,Minnesota,45.0225,-93.4617
Newark,OH,Ohio,40.0706,-82.425
Tustin,CA,California,33.7311,-117.8107
Anniston,AL,Alabama,33.6712,-85.8135
Milpitas,CA,California,37.4336,-121.8921
Texarkana,TX,Texas,33.45,-94.0847
Pleasanton,CA,California,37.6663,-121.8805
Boynton Beach,FL,Florida,26.5281,-80.0811
Port Huron,MI,Michigan,42.9821,-82.4388
Turlock,CA,California,37.5053,-120.8588
Folsom,CA,California,38.6668,-121.1422
Bellflower,CA,California,33.888,-118.1271
Pharr,TX,Texas,26.1685,-98.1904
Homestead,FL,Florida,25.4665,-80.4472
Alton,IL,Illinois,38.9037,-90.152
Upland,CA,California,34.1178,-117.6604
Evanston,IL,Illinois,42.0464,-87.6943
Rancho Cordova,CA,California,38.5737,-121.2527
Battle Creek,MI,Michigan,42.2985,-85.2296
Alameda,CA,California,37.7668,-122.267
Chino Hills,CA,California,33.9508,-117.7254
Cheyenne,WY,Wyoming,41.135,-104.7902
Lebanon,PA,Pennsylvania,40.3412,-76.4228
Perris,CA,California,33.7898,-117.2233
Schaumburg,IL,Illinois,42.0308,-88.0838
Kendall,FL,Florida,25.6697,-80.3556
Davis,CA,California,38.5553,-121.737
Elizabethtown,KY,Kentucky,37.7031,-85.8773
Jonesboro,AR,Arkansas,35.8212,-90.6791
Hammond,IN,Indiana,41.6168,-87.4909
Carmichael,CA,California,38.6318,-121.3263
Arlington Heights,IL,Illinois,42.0955,-87.9826
Alexandria,LA,Louisiana,31.2923,-92.4702
Camarillo,CA,California,34.223,-119.0321
Wyoming,MI,Michigan,42.8908,-85.7066
Hattiesburg,MS,Mississippi,31.3074,-89.317
The Villages,FL,Florida,28.9034,-81.9887
Pasco,WA,Washington,46.2506,-119.1305
Southfield,MI,Michigan,42.4765,-83.2605
Wenatchee,WA,Washington,47.436,-120.3295
Hammond,LA,Louisiana,30.5061,-90.4563
Rochester Hills,MI,Michigan,42.6645,-83.1563
Loveland,CO,Colorado,40.4166,-105.0623
Valdosta,GA,Georgia,30.8502,-83.2788
Pittsburg,CA,California,38.0182,-121.8965
Owensboro,KY,Kentucky,37.7575,-87.1172
South Jordan,UT,Utah,40.557,-111.9784
Bethlehem,PA,Pennsylvania,40.6266,-75.3679
Apple Valley,CA,California,34.5352,-117.2109
Pawtucket,RI,Rhode Island,41.8744,-71.3743
Flower Mound,TX,Texas,33.0343,-97.1146
St. Joseph,MO,Missouri,39.7598,-94.821
Cedar Park,TX,Texas,30.5105,-97.8197
Dover,NH,New Hampshire,43.1887,-70.8845
Caguas,PR,Puerto Rico,18.2319,-66.0388
Ellicott City,MD,Maryland,39.2774,-76.8345
Saratoga Springs,NY,New York,43.0674,-73.7775
Pocatello,ID,Idaho,42.8724,-112.4647
Oshkosh,WI,Wisconsin,44.0227,-88.5619
North Port,FL,Florida,27.0576,-82.1977
New Britain,CT,Connecticut,41.6759,-72.7862
Woodbury,MN,Minnesota,44.9057,-92.923
Lauderhill,FL,Florida,26.1605,-80.2241
Lehi,UT,Utah,40.4136,-111.8725
Bolingbrook,IL,Illinois,41.6901,-88.1021
Dale City,VA,Virginia,38.6473,-77.3459
Missouri City,TX,Texas,29.563,-95.5365
Sheboygan,WI,Wisconsin,43.7403,-87.7316
Mansfield,OH,Ohio,40.7656,-82.5275
Glens Falls,NY,New York,43.3109,-73.6458
Lodi,CA,California,38.1218,-121.2932
Harrisonburg,VA,Virginia,38.4362,-78.8735
Doral,FL,Florida,25.8152,-80.3565
Centreville,VA,Virginia,38.839,-77.4389
Dothan,AL,Alabama,31.2336,-85.407
Cleveland,TN,Tennessee,35.1817,-84.8707
Mount Vernon,NY,New York,40.9136,-73.8291
Jackson,TN,Tennessee,35.6538,-88.8354
Baldwin Park,CA,California,34.0829,-117.9722
Broomfield,CO,Colorado,39.9542,-105.0526
Redlands,CA,California,34.0512,-117.1712
Camden,NJ,New Jersey,39.9361,-75.1073
Altoona,PA,Pennsylvania,40.5082,-78.4007
Redmond,WA,Washington,47.6763,-122.1169
Framingham,MA,Massachusetts,42.3085,-71.4368
Porterville,CA,California,36.0643,-119.0338
Mansfield,TX,Texas,32.569,-97.1213
Waukesha,WI,Wisconsin,43.0087,-88.2464
Blacksburg,VA,Virginia,37.23,-80.4279
Wausau,WI,Wisconsin,44.962,-89.6459
Sumter,SC,South Carolina,33.9392,-80.393
Janesville,WI,Wisconsin,42.6854,-89.0135
Brunswick,GA,Georgia,31.1449,-81.4746
Tamarac,FL,Florida,26.2056,-80.2539
Daytona Beach,FL,Florida,29.1995,-81.0982
Castle Rock,CO,Colorado,39.3763,-104.8535
Redondo Beach,CA,California,33.8577,-118.3765
Wilmington,DE,Delaware,39.7415,-75.5416
Union City,CA,California,37.6032,-122.0181
Fairbanks,AK,Alaska,64.8353,-147.6533
Bayonne,NJ,New Jersey,40.6668,-74.1158
Guaynabo,PR,Puerto Rico,18.3832,-66.1134
Spring Hill,TN,Tennessee,35.7437,-86.9116
Grand Forks,ND,North Dakota,47.9214,-97.0884
Rocklin,CA,California,38.8075,-121.2489
Passaic,NJ,New Jersey,40.8574,-74.1282
Casas Adobes,AZ,Arizona,32.3423,-111.0113
St. Charles,MO,Missouri,38.7954,-90.5157
El Paso de Robles,CA,California,35.6394,-120.656
Maple Grove,MN,Minnesota,45.1089,-93.4626
Sherman,TX,Texas,33.6273,-96.6221
Walnut Creek,CA,California,37.9024,-122.0399
Dublin,CA,California,37.7161,-121.8963
North Richland Hills,TX,Texas,32.8604,-97.218
Gary,IN,Indiana,41.5905,-87.3473
Glen Burnie,MD,Maryland,39.156,-76.6071
Conway,AR,Arkansas,35.0753,-92.4692
Michigan City,IN,Indiana,41.7092,-86.869
Lakeville,MN,Minnesota,44.6774,-93.252
Blaine,MN,Minnesota,45.1696,-93.2077
Poinciana,FL,Florida,28.1217,-81.4821
East Orange,NJ,New Jersey,40.7651,-74.2117
Noblesville,IN,Indiana,40.0355,-86.0042
Gaithersburg,MD,Maryland,39.1346,-77.2131
Lake Elsinore,CA,California,33.6847,-117.3344
Palo Alto,CA,California,37.3905,-122.1468
Dalton,GA,Georgia,34.769,-84.972
Dubuque,IA,Iowa,42.5002,-90.707
Eastvale,CA,California,33.9617,-117.5803
Tulare,CA,California,36.1995,-119.34
Maricopa,AZ,Arizona,33.0408,-112.0011
Rogers,AR,Arkansas,36.317,-94.1531
Yorba Linda,CA,California,33.889,-117.7714
Eagan,MN,Minnesota,44.817,-93.1638
Weston,FL,Florida,26.1006,-80.4054
Hanford,CA,California,36.3274,-119.6549
Bristol,TN,Tennessee,36.5572,-82.2154
Watsonville,CA,California,36.9206,-121.7708
Union City,NJ,New Jersey,40.7675,-74.0323
Palatine,IL,Illinois,42.118,-88.043
West Des Moines,IA,Iowa,41.5521,-93.7806
Lynwood,CA,California,33.924,-118.2016
San Marcos,TX,Texas,29.8734,-97.9356
Skokie,IL,Illinois,42.036,-87.74
Great Falls,MT,Montana,47.5022,-111.2996
Longview,WA,Washington,46.1461,-122.963
Corvallis,OR,Oregon,44.5698,-123.2779
